Full context	Stimulus_animacy	Construction_type	Verb	Stimulus_encoding	Participle_case
 Живой прообраз Хирама Бурмана был, рассказывали Ильф и Петров, не столько удивлен тем, что в Советском Союзе нет «еврейского вопроса», сколько разочарован, даже обижен этим.  [Цезарь Солодарь. Двойные стандарты // «Огонек», 1975] [омонимия не снята]	inan	cop	obidet	instrumental	
 Но я не был обижен этим, уже тогда я рад был потесниться.  [А. И. Солженицын. Архипелаг ГУЛаг (1958-1973)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Чтобы видеть ее лицо, Владимиру пришлось смотреть в зеркало, отчего Наташе казалось, что он глядит мимо, и она, должно быть, была этим обижена.  [Александр Житинский. Лестница (1972)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Она была, конечно, обижена грубостью трактористки Граньки Оторви да брось, но все-таки показывала в улыбке золотой зуб, так как втайне все-таки опасалась Граньку как возможную соперницу.  [Виль Липатов. Еще до войны (1971)] [омонимия не снята]	inan	cop	obidet	instrumental	
  Какое ему было дело до этого дурацкого портфеля, до этого брошенного родителями мальчишки, племянника жены, если сам он был так обижен судьбой, если бог не дал ему сына собственного, своей крови, в то время как другим дарит детей щедро, без счета?..  [Чингиз Айтматов. Белый пароход (1970)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Рабочие обижены положением о выборах в Государственную Думу, по которому они вследствие высокого ценза не могут ни избирать, ни быть избранными.  [Василий Аксенов. Любовь к электричеству (1969)] [омонимия не снята]	inan	null	obidet	instrumental	
  ― Как обижен тот судьбою, кто не властен над собою, ― задумчиво говорит Динка.  [Валентина Осеева. Динка прощается с детством (1969)] [омонимия не снята]	inan	null	obidet	instrumental	
 Исключительно из пожилых, которые понимают толк в жизни, про которых точно известно, что они советской властью обижены.  [Вадим Кожевников. Щит и меч. Книга первая (1968)] [омонимия не снята]	anim	null	obidet	instrumental	
 Чернышев был так обижен этим, что неизменно каждый год после страстной пропаганды устраивал собрание русской колонии, подробно излагал все дело и требовал суда, который восстановил бы справедливость.  [Н. О. Лосский. Воспоминания: жизнь и философский путь (1968)] [омонимия не снята]	inan	cop	obidet	instrumental	
 «Конечно, ― размышлял он, ― министр обижен тем холодно-формальным приемом, который только что был оказан ему на Ангальтском вокзале».  [Александр Чаковский. Блокада (1968)] [омонимия не снята]	inan	null	obidet	instrumental	
 А Гошка не спал семьдесят два часа и был обижен тем, что священнику можно закрыть глаза, а ему нет, и нужно устроить всю эту свалившуюся на него орду, и со всей язвительностью, на накую был способен тогда, Гошка просипел:  [Михаил Анчаров. Этот синий апрель (1967)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Звал он много раз и нас с Аксеновым и был очень обижен нашим отказом.  [Е. С. Гинзбург. Крутой маршрут: Часть 1 (1967)] [омонимия не снята]	inan	cop	obidet	instrumental	
 ― Когда заложенные наши товарищи не сильно вами обижены, то советую назначить командиром отряда Сухожилова Корнея.  [Сергей Залыгин. Соленая Падь (1967)] [омонимия не снята]	anim	null	obidet	instrumental	
